stress_axis,stress_level,method,intent_accuracy,action_success,ci95_success,param_error,rows
morphology,0.0,body_normalized_knn,0.78571,0.67262,0.04857,0.50154,168
morphology,0.0,object_affordance_classifier,0.85119,0.78571,0.06025,0.20481,168
morphology,0.0,style_invariant_logistic,0.87500,0.87500,0.03985,0.12812,168
morphology,0.0,physical_intent_disambiguation,0.98214,0.98214,0.03500,0.03070,168
morphology,0.0,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02186,168
morphology,0.2,body_normalized_knn,0.83929,0.70238,0.04518,0.44267,168
morphology,0.2,object_affordance_classifier,0.83333,0.73810,0.05261,0.21569,168
morphology,0.2,style_invariant_logistic,0.83333,0.83333,0.05346,0.16970,168
morphology,0.2,physical_intent_disambiguation,0.99405,0.98810,0.01506,0.03573,168
morphology,0.2,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02111,168
morphology,0.4,body_normalized_knn,0.74405,0.63095,0.06025,0.54948,168
morphology,0.4,object_affordance_classifier,0.82738,0.72619,0.04995,0.22703,168
morphology,0.4,style_invariant_logistic,0.83929,0.83929,0.05755,0.12282,168
morphology,0.4,physical_intent_disambiguation,0.96429,0.96429,0.02130,0.03670,168
morphology,0.4,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02121,168
morphology,0.6,body_normalized_knn,0.72024,0.57738,0.09831,0.58073,168
morphology,0.6,object_affordance_classifier,0.80952,0.75595,0.07440,0.20762,168
morphology,0.6,style_invariant_logistic,0.79167,0.79167,0.05911,0.19239,168
morphology,0.6,physical_intent_disambiguation,0.94643,0.93452,0.03928,0.03202,168
morphology,0.6,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02170,168
morphology,0.8,body_normalized_knn,0.66071,0.58333,0.06173,0.61502,168
morphology,0.8,object_affordance_classifier,0.85119,0.77976,0.06354,0.20732,168
morphology,0.8,style_invariant_logistic,0.77381,0.77381,0.05304,0.17349,168
morphology,0.8,physical_intent_disambiguation,0.98214,0.98214,0.01650,0.03780,168
morphology,0.8,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02171,168
morphology,1.0,body_normalized_knn,0.65476,0.54167,0.03985,0.59798,168
morphology,1.0,object_affordance_classifier,0.86310,0.77381,0.07941,0.21835,168
morphology,1.0,style_invariant_logistic,0.75595,0.75595,0.05174,0.18660,168
morphology,1.0,physical_intent_disambiguation,0.94643,0.94048,0.03928,0.03429,168
morphology,1.0,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02171,168
style,0.0,body_normalized_knn,0.82738,0.73810,0.03869,0.42578,168
style,0.0,object_affordance_classifier,0.85714,0.76190,0.05261,0.21297,168
style,0.0,style_invariant_logistic,0.92857,0.92857,0.04618,0.09439,168
style,0.0,physical_intent_disambiguation,0.98810,0.98214,0.02429,0.02058,168
style,0.0,oracle_intent_upper_bound,1.00000,1.00000,0.00000,0.02105,168
style,0.2,body_normalized_knn,0.74405,0.67857,0.09211,0.45529,168
style,0.2,object_affordance_classifier,0.80952,0.76190,0.06836,0.21902,168
