split,seed,episode_id,intent,morphology,arm_length,shoulder_width,handedness,camera_scale,style_speed,curvature,hesitation,occlusion,noise,object_class,contact_time
seen_morphology_clean,0,0,push,seen,1.00082,0.44868,-1,1.03978,0.88826,0.22087,0.00164,0.04308,0.01144,cart,0.46813
seen_morphology_clean,0,1,pull,seen,1.04488,0.42608,1,1.05827,1.03333,0.16037,0.04519,0.04815,0.00992,tethered_box,0.44592
seen_morphology_clean,0,2,rotate,seen,1.00070,0.42182,-1,1.00777,0.87232,0.19756,0.07251,0.02739,0.01020,jar_lid,0.52617
seen_morphology_clean,0,3,lift,seen,0.98255,0.42252,1,0.98911,1.09795,0.16642,0.00047,0.00988,0.00929,mug,0.37380
seen_morphology_clean,0,4,place,seen,1.03536,0.40710,1,1.02523,1.06831,0.23057,0.07428,0.00007,0.00970,peg_to_slot,0.43537
seen_morphology_clean,0,5,handoff,seen,1.02838,0.40152,1,0.98240,0.89690,0.18419,0.06854,0.01244,0.00675,tool_handoff,0.47999
seen_morphology_clean,0,6,push,seen,1.01518,0.35787,-1,0.97498,0.95412,0.18108,0.04095,0.01858,0.00648,sliding_box,0.48090
seen_morphology_clean,0,7,pull,seen,1.06498,0.37543,-1,1.01220,1.01101,0.19732,0.00930,0.03125,0.00885,tethered_box,0.44196
seen_morphology_clean,0,8,rotate,seen,0.92640,0.39451,-1,0.96329,1.11456,0.18174,0.05167,0.03300,0.00597,knob,0.38910
seen_morphology_clean,0,9,lift,seen,0.99264,0.35299,1,1.00198,0.98430,0.14291,0.04173,0.01437,0.00826,tool,0.42904
seen_morphology_clean,0,10,place,seen,0.93936,0.41069,1,1.01087,1.06378,0.16702,0.04622,0.00315,0.00933,cup_to_bowl,0.44026
seen_morphology_clean,0,11,handoff,seen,1.07206,0.42471,1,1.00873,0.85645,0.24066,0.01099,0.04181,0.01032,tool_handoff,0.50365
seen_morphology_clean,0,12,push,seen,1.02012,0.39528,1,0.99521,0.87625,0.15781,0.04057,0.00586,0.00489,box,0.52217
seen_morphology_clean,0,13,pull,seen,1.08068,0.37177,1,1.03443,0.90008,0.20364,0.02189,0.04591,0.00745,tethered_box,0.48473
seen_morphology_clean,0,14,rotate,seen,1.17872,0.40120,1,0.98355,0.90172,0.19927,0.00860,0.04123,0.00616,jar_lid,0.47490
seen_morphology_clean,0,15,lift,seen,1.10930,0.37968,-1,1.02407,1.04058,0.12738,0.03794,0.04630,0.00910,block,0.43164
seen_morphology_clean,0,16,place,seen,1.00093,0.38042,-1,0.96887,0.95482,0.24328,0.07231,0.03335,0.00451,block_to_bin,0.48593
seen_morphology_clean,0,17,handoff,seen,1.04645,0.37937,-1,0.96036,0.92829,0.11207,0.03829,0.02628,0.00654,tool_handoff,0.47127
seen_morphology_clean,0,18,push,seen,0.93358,0.38599,1,1.08013,0.94517,0.28774,0.01166,0.04493,0.00641,cart,0.48672
seen_morphology_clean,0,19,pull,seen,1.04394,0.38982,1,0.94703,1.07372,0.17619,0.07243,0.02564,0.00545,sliding_tray,0.43099
seen_morphology_clean,0,20,rotate,seen,1.06337,0.40806,1,1.02688,1.11009,0.14333,0.07990,0.00945,0.00919,knob,0.38975
seen_morphology_clean,0,21,lift,seen,0.96875,0.37320,-1,1.01222,1.06397,0.24783,0.06460,0.05219,0.00853,block,0.42673
seen_morphology_clean,0,22,place,seen,0.93619,0.45156,1,0.99438,0.95685,0.12665,0.07849,0.03437,0.00969,peg_to_slot,0.47254
seen_morphology_clean,0,23,handoff,seen,1.02548,0.39128,1,1.04298,0.99022,0.15845,0.00738,0.02397,0.00953,tool_handoff,0.43137
seen_morphology_clean,0,24,push,seen,1.05074,0.38664,1,1.02847,1.01255,0.13406,0.05620,0.01459,0.00530,sliding_box,0.43357
seen_morphology_clean,0,25,pull,seen,0.99390,0.41296,-1,1.01302,1.04955,0.25303,0.03841,0.01307,0.00447,tethered_box,0.43503
seen_morphology_clean,0,26,rotate,seen,1.00334,0.37793,1,0.99064,1.03044,0.16324,0.05292,0.00761,0.00732,valve,0.43327
seen_morphology_clean,0,27,lift,seen,1.11132,0.39075,-1,1.05422,0.90409,0.23757,0.02410,0.02023,0.00779,tool,0.47508
seen_morphology_clean,0,28,place,seen,0.91836,0.41774,-1,1.00481,0.91704,0.21066,0.04552,0.01825,0.01043,cup_to_bowl,0.47784
seen_morphology_clean,0,29,handoff,seen,0.99595,0.40496,1,0.95324,1.07358,0.25848,0.03934,0.02131,0.00951,tool_handoff,0.38744
seen_morphology_clean,0,30,push,seen,0.94365,0.41884,1,1.00586,1.02149,0.16175,0.07986,0.02818,0.01166,sliding_box,0.44082
seen_morphology_clean,0,31,pull,seen,1.02665,0.38363,1,0.97313,0.91391,0.22280,0.03842,0.05648,0.01147,sliding_tray,0.46147
seen_morphology_clean,0,32,rotate,seen,0.96870,0.37282,1,0.97155,1.10429,0.15770,0.05418,0.05605,0.00822,knob,0.38609
seen_morphology_clean,0,33,lift,seen,1.03270,0.41464,1,0.96185,0.91420,0.25403,0.06431,0.02388,0.01002,mug,0.48236
seen_morphology_clean,0,34,place,seen,0.95310,0.42435,1,0.94062,0.92661,0.19931,0.04072,0.01639,0.00445,peg_to_slot,0.47574
seen_morphology_clean,0,35,handoff,seen,0.94000,0.37342,-1,0.94530,0.91528,0.10105,0.07426,0.03091,0.01148,cup_handoff,0.47021
seen_morphology_clean,0,36,push,seen,1.12583,0.42481,1,1.03265,0.83809,0.21972,0.00416,0.02972,0.00425,box,0.52806
seen_morphology_clean,0,37,pull,seen,1.06870,0.35623,-1,1.02755,0.95622,0.24782,0.03750,0.04176,0.00522,sliding_tray,0.47366
seen_morphology_clean,0,38,rotate,seen,0.97630,0.39520,-1,1.00995,1.01615,0.10755,0.03674,0.01100,0.01148,jar_lid,0.42371
seen_morphology_clean,0,39,lift,seen,0.93902,0.38400,-1,1.00928,1.06408,0.20742,0.02919,0.05357,0.00812,mug,0.42380
seen_morphology_clean,0,40,place,seen,0.98045,0.40944,-1,0.96054,0.97344,0.08883,0.01439,0.03470,0.00666,cup_to_bowl,0.44856
seen_morphology_clean,0,41,handoff,seen,1.03358,0.46445,-1,0.98612,1.09928,0.18872,0.01036,0.05555,0.00962,tool_handoff,0.38454
style_shift_same_intent,0,0,push,seen,0.98109,0.39689,-1,1.04813,1.59696,0.43528,0.16224,0.09404,0.02431,sliding_box,0.34904
style_shift_same_intent,0,1,pull,seen,1.00686,0.37645,-1,1.06067,1.59088,0.35668,0.14636,0.05833,0.01892,tethered_box,0.31971
style_shift_same_intent,0,2,rotate,seen,1.00298,0.45435,-1,0.92282,1.45545,0.23525,0.21868,0.05800,0.01826,valve,0.32003
style_shift_same_intent,0,3,lift,seen,0.88930,0.44614,-1,1.01357,0.60655,0.37766,0.16984,0.11821,0.01837,tool,0.68950
style_shift_same_intent,0,4,place,seen,0.99975,0.40814,-1,0.97224,0.64660,0.25268,0.12855,0.11869,0.01389,peg_to_slot,0.72643
style_shift_same_intent,0,5,handoff,seen,0.99318,0.36395,1,1.01577,1.53192,0.61448,0.15560,0.03656,0.01243,cup_handoff,0.31724
style_shift_same_intent,0,6,push,seen,0.97935,0.38213,-1,1.02376,0.50010,0.34009,0.16573,0.09575,0.01250,box,0.68553
style_shift_same_intent,0,7,pull,seen,0.96223,0.43027,-1,0.97815,1.53201,0.45477,0.11000,0.10590,0.02471,sliding_tray,0.32841
style_shift_same_intent,0,8,rotate,seen,0.99183,0.37556,-1,1.00680,1.66768,0.49119,0.13361,0.07203,0.02589,jar_lid,0.33838
style_shift_same_intent,0,9,lift,seen,1.07121,0.43289,-1,0.94641,1.64529,0.32285,0.13812,0.07987,0.01559,block,0.29644
style_shift_same_intent,0,10,place,seen,0.97228,0.40268,-1,0.96939,1.53661,0.50229,0.13676,0.05748,0.01131,cup_to_bowl,0.29935
style_shift_same_intent,0,11,handoff,seen,1.04372,0.43029,1,1.02111,0.58163,0.46919,0.18273,0.08281,0.02569,cup_handoff,0.70375
style_shift_same_intent,0,12,push,seen,0.98091,0.40541,1,0.97894,0.60119,0.58459,0.09478,0.08152,0.01792,box,0.72970
style_shift_same_intent,0,13,pull,seen,0.91464,0.41167,1,1.02041,1.62339,0.47995,0.10265,0.10984,0.01295,tethered_box,0.28214
style_shift_same_intent,0,14,rotate,seen,0.97143,0.36352,1,1.00112,0.55767,0.57211,0.16881,0.04729,0.02462,jar_lid,0.67113
style_shift_same_intent,0,15,lift,seen,1.01820,0.40279,1,1.05852,1.41551,0.39082,0.14611,0.09092,0.02367,mug,0.29717
style_shift_same_intent,0,16,place,seen,1.14035,0.40656,-1,1.01379,1.42892,0.51270,0.09321,0.05986,0.02136,block_to_bin,0.31573
style_shift_same_intent,0,17,handoff,seen,0.98147,0.39683,-1,0.98442,1.70840,0.38133,0.12992,0.04232,0.01044,tool_handoff,0.30024
style_shift_same_intent,0,18,push,seen,1.07835,0.40625,-1,1.02778,1.56113,0.41694,0.09073,0.03937,0.02315,sliding_box,0.26137
style_shift_same_intent,0,19,pull,seen,0.97309,0.40280,1,0.98578,1.64210,0.42706,0.09493,0.08345,0.02244,sliding_tray,0.31768
style_shift_same_intent,0,20,rotate,seen,0.95078,0.38181,1,0.98686,1.57411,0.25692,0.14782,0.08157,0.01130,jar_lid,0.30589
style_shift_same_intent,0,21,lift,seen,1.03304,0.39634,-1,1.06538,0.54662,0.37366,0.13387,0.04917,0.01406,block,0.69871
style_shift_same_intent,0,22,place,seen,0.95226,0.37270,-1,0.98811,0.61378,0.48577,0.17993,0.08406,0.01190,peg_to_slot,0.67885
style_shift_same_intent,0,23,handoff,seen,1.08809,0.42423,1,1.00122,0.61037,0.42770,0.09339,0.11630,0.02001,cup_handoff,0.72586
style_shift_same_intent,0,24,push,seen,0.93440,0.42038,-1,1.01704,1.75910,0.54930,0.18704,0.03514,0.02073,cart,0.28853
style_shift_same_intent,0,25,pull,seen,1.04400,0.40887,1,0.94169,1.52611,0.22857,0.20770,0.10265,0.01309,tethered_box,0.28470
style_shift_same_intent,0,26,rotate,seen,1.03267,0.42277,-1,0.99730,0.52431,0.47688,0.13629,0.09721,0.01768,valve,0.70248
